,infrastructure damaged - bridge,District,Number,Details,Date
0,,Kokrajhar,4,"(Kokrajhar) At District - BRIDGE NO. 1/1 | BABUBIL | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, BABUBIL TO NALUBASTI BRIDGE NO. 1/1 HAS BEEN WASHED OUT | (Long - 0.000000, Lat - 0.000000),  BRIDGE NO. 1/1 | CHAKMA | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, CHAKMA TO SAMAIJHORA BRIDGE NO. 1/1 SETTLING DOWN OF PILES | (Long - 0.000000, Lat - 0.000000),  BRIDGE NO. 5/1 | CHAKMA | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, CHAKMA TO SAMAIJHORA BRIDGE NO. 5/1 HAS BEEN WOASHED OUT | (Long - 0.000000, Lat - 0.000000),  BRIDGE NO. 1/1 | MANDARKUTI | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, WASHOUT OF BRIDGE NO. 1/1 ON DINGDINGA MANDARKUTI ROAD | (Long - 0.000000, Lat - 0.000000)",27-06-2022
1,,Udalguri,1,"Mazbat - Br No 2/1 of Mazbat Bettybari road | Bettybari | the approach and protection of BR No 2/1 of Mazbat to Bettybari road has been eroded and washed away on 25/6/2022. Length - 10m(approx) | (Long - 92.292687, Lat - 26.812580)",27-06-2022
2,,Total,5,,27-06-2022
