,infrastructure damaged - bridge,District,Number,Details,Date
0,,Dima-Hasao,2,"Haflong - Lower Haflong to Wari Road | Lower Haflong to Wari Road | Damage of Bridge in between Lower Haflong and Wari Village. As per the Information received from PWD dated 24.05.2022,  Gunjung to Maibang Road | Gunjung to Maibang Road | Damage of bridge in between Gunjung village and Maibang. As per the Information received from PWD dated 24.05.2022",26-05-2022
1,,Total,2,,26-05-2022
