,infrastructure damaged - bridge,District,Number,Details,Date
0,,Biswanath,1,"Gohpur - Phuleswari Aai than Road Spt Bridge | Phuleswari Aai than road | Both the approaches of spt bridge (1/1) of Phuleswar Aai Than Road are found damage on receding the overtopped flood water besides shoulder erosion in places along the entire 700 m road stretch. As per water resource Dept. on 06.07.2022 | (Long - 0.000000, Lat - 0.000000)",11-06-2022
1,,Kokrajhar,1,"(Kokrajhar) At District - BRIDGE NO. 1/1 ON SINGIMARI LOCOCHA | SINGIMARI | AS REPORTED BY AEE PWD GOSSAIGAON RR SUB-DIVISION RECEIVED ON 06-07-2022, BRIDGE NO. 1/1 HAS BEEN DAMAGED ON SINGIMARI LOCOCHA ROAD CONNECTING TO NOTUN GAON CHUNDPUR VILLAGE ROAD | (Long - 0.000000, Lat - 0.000000)",11-06-2022
2,,Total,2,,11-06-2022
