,infrastructure damaged - bridge,District,Number,Details,,,,,,,Date
0,,Barpeta,1,"Chenga - SPT Br.No.1/1 on Kachumara Andabhanga Road | Kachumara | 6 nos. pile washed away on SPT Br.No.1/1 on Kachumara Andabhanga Road occurred on 06.09.2022 reported by PWD division on 8/9/2022 | (Long - 91.059967, Lat - 26.149867)",,,,,,,08-09-2022
1,,Total,1,,,,,,,,08-09-2022
