,infrastructure damaged - bridge,District,Number,Details,Date
0,,Biswanath,1,"Biswanath - RCC Culvert at Napamua to Tinisuti Road | Napamua Village of Baghmara mouza | As AEE PWD Roads, Rcc bridge connecting Kamalpur to Tinisuti has been breached on 05-07-2022. | (Long - 0.000000, Lat - 0.000000)",05-07-2022
1,,Total,1,,05-07-2022
