,infrastructure damaged - bridge,District,Number,Details,Date
0,,Bajali,12,"Bajali - RCC Bridge no. 1/1. . Affected length is 10 m. | Ratanpur Bamakhata Road | This report is received from the AEE, PWD, Patacharkuchi TR Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  SPT BR no.2/1 Damaged | Bongaon to Kaskuri road | This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  RCC BR no.2/1, Approach damaged | Kucdigha to Maguri | Approach damaged by tihu river. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  SCC BR no.2/2, Approach damaged | Kuchdigha to Maguri | Approach damaged by tihu river. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  HPC Culvert no.3/1, has been damaged | Patcharcuchi Rampur road | This culvert has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 6/1, has been damaged | Upar Noi Ulua | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Culvert no. 3/2 app, has been damaged | Soibari Manikpur | This culvert has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  HPC Culvert no. 3/1, has been damaged | Soibari Manikpur | This culvert has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 2/1, 5/1,6/1, has been damaged | Original Bamakhata Kenduguri road | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 3/2 has been damaged | Bamakhata Kenduguri | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 1/1,1/2, 2/1, 2/2 has been damaged | Kuara to 3rd Km of Tihu Dumuni Road | These bridge has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  RCC Bridge of Borola ghat has been damaged | Borola Ghat | This bridge has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000)",22-06-2022
1,,Bajali,,"Bajali - RCC Bridge no. 1/1. . Affected length is 10 m. | Ratanpur Bamakhata Road | This report is received from the AEE, PWD, Patacharkuchi TR Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  SPT BR no.2/1 Damaged | Bongaon to Kaskuri road | This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  RCC BR no.2/1, Approach damaged | Kucdigha to Maguri | Approach damaged by tihu river. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  SCC BR no.2/2, Approach damaged | Kuchdigha to Maguri | Approach damaged by tihu river. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  HPC Culvert no.3/1, has been damaged | Patcharcuchi Rampur road | This culvert has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 6/1, has been damaged | Upar Noi Ulua | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Culvert no. 3/2 app, has been damaged | Soibari Manikpur | This culvert has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  HPC Culvert no. 3/1, has been damaged | Soibari Manikpur | This culvert has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 2/1, 5/1,6/1, has been damaged | Original Bamakhata Kenduguri road | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 3/2 has been damaged | Bamakhata Kenduguri | This bridge has been damaged. This report is received from the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  Bridge app 1/1,1/2, 2/1, 2/2 has been damaged | Kuara to 3rd Km of Tihu Dumuni Road | These bridge has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000),  RCC Bridge of Borola ghat has been damaged | Borola Ghat | This bridge has been damaged. This report is received rfom the AE, PWD, Patacharcuchi TR, Sub-Division, Patshala on 21.06.2022 | (Long - 0.000000, Lat - 0.000000)",22-06-2022
2,,Dhemaji,2,"Dhemaji - PWD Bamboo foot bridge connecting Gohain gaon to E&D Dyke | Gohain gaon to E&D Dyke | Today on 22/06/2022, Bamboo foot bridge connecting Gohain gaon to E&D Dyke, damaged at Ch. 3012.00m (Length-75.00m). | (Long - 94.606209, Lat - 27.487460),  PWD Bamboo foot bridge connecting No1 Simaluguri to No 2 Borachira | No1 Simaluguri to No 2 Borachira | Today on 22/06/2022, Bamboo foot bridge connecting No1 Simaluguri to No 2 Borachira , damaged at Ch. 3012.00m (Length-75.00m). | (Long - 94.608412, Lat - 27.513200)",22-06-2022
3,,Kamrup,2,"Kamalpur - BLJC road Bridge no 2/1 at ch. 1600 M | BLJC road | Damage of 6 M spam RCC Bridge needs permanent restoration as per report of Asstt. Executive Engineer PWD Kamalpur Teritorrial road sub division Kamalpur on 21-06-2022 | (Long - 26.441339, Lat - 91.755255),  Muktapur Mornoipar Bridge | Muktapur | Settlement at one side & both side approach damaged. this was done by Muktapur panchyat.This is not under PWD R as per report of Asstt. Executive Engineer PWD Kamalpur Teritorrial road sub division Kamalpur on 21-06-2022 | (Long - 26.423821, Lat - 91.749857)",22-06-2022
4,,Nalbari,3,"Paschim Nalbari - RCC Br. No. 1/1 on Chamata Kaithalkuchi road over Burhadia River at Sahpur. | Sahpur | Approch damage. Information received from PWRD on 20/06/2022 | (Long - 0.000000, Lat - 0.000000),  SRT at Bhoiraghol | Bhoiraghol | Damaged. Information received from PWRD on 20/06/2022. | (Long - 0.000000, Lat - 0.000000),  Banekuchi - Ambari Supa To BBNG road | Burinagar | As per report of PWRD Department on 18/06/2022 the Wooden Bridge is damaged due to flood. | (Long - 91.432495, Lat - 26.484210)",22-06-2022
5,,Udalguri,1,"Harisinga - Dimakuchi Bogoritol RCC bridge | Dimakuchi | RCC bridge Dimakuchi Donbosco bridge breached around 3m on 18/06/2022 | (Long - 91.832100, Lat - 26.774800)",22-06-2022
6,,Total,20,,22-06-2022
