,infrastructure damaged - bridge,District,Number,Details,Date
0,,Barpeta,1,"Chenga - SPT Br. 1/1 on Kachumara Andabhanga Road | Kachumara | SPT Br. 1/1 on Kachumara Andabhanga Road washed away by the channel of river Brahmaputra, Approx length 35.00M (occurred on 30/09/2022) reported by PWD deptt. on 1/10/2022. | (Long - 26.149895, Lat - 91.059731)",01-10-2022
1,,Total,1,,01-10-2022
