,infrastructure damaged - bridge,District,Number,Details,Date
0,,Nagaon,1,"Raha - Rupahitoli to tupakuchi | Rupahitoli | Affected length-1km Date-2/7/2022 Department -PWRD,Raha | (Long - 0.000000, Lat - 0.000000)",03-07-2022
1,,Total,1,,03-07-2022
