,infrastructure damaged - bridge,District,Number,Details,Date
0,,Hailakandi,1,"Algapur - RCC bridge No. 1/1 under RIDF XXIV at Sayedbond Pt-III , Under Algapur Revenue Circle, Dtd.-21.05.2022 . | Sayedbond under Algapur Revenue Circle | Bridge approach damage due to Runoff water around 400 mtr. both side.",22-05-2022
1,,Total,1,,22-05-2022
