,infrastructure damaged - bridge,District,Number,Details,Date
0,,Barpeta,1,"Sarthebari - Burikhamar Bazar to Kaljahi | Burikhamar Bazar | Road shoulders and approaches of SPT Br. No.1/1 damaged ( 1st &amp; 2nd Km.) ( reported by JE, PWD, 24.05.2022)",24-05-2022
1,,Total,1,,24-05-2022
