,infrastructure damaged - bridge,District,Number,Details,Date
0,,Biswanath,4,"Gohpur - NEC to Uttar Sonapur PMGSY Road | Sonapur GP | approach at one end of RCC Br. No 2/1 over river Solengi is damaged badly on 29-06-2022 | (Long - 0.000000, Lat - 0.000000),  Solengi to Rrajgarh Road via Sonapur | Sonapur GP | road breached at the approach of 5 cell H.P culvert at Ch. 4700.00 m at Ch 4730.00 to 4790.00 m at Ch. 4680.00 m & at Ch. 5100.00 m to 5170.00 m road badly damaged at Ch. 2400.00 m HP Culvert Damaged Badly on 29-06-2022 | (Long - 0.000000, Lat - 0.000000),  Naya Ghagra Tea Garden Road | Ghogra | Slab Culvert damaged completely on 29-06-2022 | (Long - 0.000000, Lat - 0.000000),  Sukurbori to Nigam Bishnu Road | HP culvert partially damaged | Sukurbori to Nigam Bishnu Road on 29-06-2022 | (Long - 0.000000, Lat - 0.000000)",30-06-2022
1,,Kokrajhar,1,"Gossaigaon - Wooden Bridge No. 1/2 | No. 1 Khokshaguri | As reported by EE Gossaigaon PWD RR, Wooden Bridge No. 1/2 has been damaged on No. 1 Khokshaguri to No. 3 Khokshaguri road on 28-06-2022 | (Long - 0.000000, Lat - 0.000000)",30-06-2022
2,,Total,5,,30-06-2022
