,infrastructure damaged - bridge,District,Number,Details,Date
0,,Kamrup,1,Nagarbera - Bhukradia nagarbera bridge | Village - Bhukradia | Approch road to bhukradia nagarbera bridge was affected due to erosion on 6-6-2022 and the same has been reported by EE PWD Boko territorial road sub division dated 7-6-2022,07-06-2022
1,,Total,1,,07-06-2022
