,infrastructure damaged - bridge,District,Number,Details,Date
0,,Bajali,2,"Sarupeta - puran bhabanipur to sarupeta bridge, | puran bhabanipur | report received from concerned LM on 18/06/2022 | (Long - 91.310000, Lat - 26.290000),  luwashur to sarupeta road | sarupeta | report received from concerned LM on 18/06/2022 | (Long - 91.060000, Lat - 26.490000)",18-06-2022
1,,Morigaon,1,"Morigaon - RCC Bridge No. 1/1 over river Killing 18/06/2022 | Kuthuribagisa | Bridge approaches of RCC Bridge No. 1/1 over river Killing on NH-37 to Kuthuribagisa Road eroded. | (Long - 92.297482, Lat - 26.089079)",18-06-2022
2,,Nalbari,1,"Nalbari - RCC Br No 1/1 | Patkata Dhekiabari road | as per the report of PWRD, RCC BR no 1/1 on Patkata Dhekiabari Road approach damaged Dated: 17/06/2022 | (Long - 0.000000, Lat - 0.000000)",18-06-2022
3,,Sonitpur,1,"Dhekiajuli - Keherukhanda to Katalu Dub PWD road Rcc bridge approach damaged due to water action. dated 17.6.22 | Keherukhanda to Katalu Dub PWD road Rcc bridge approach damaged due to water action. dated 17.6.22 | | (Long - 92.533161, Lat - 26.724542)",18-06-2022
4,,Total,5,,18-06-2022
