,infrastructure damaged - bridge,District,Number,Details,Date
0,,Tamulpur,1,Goreswar - Tengajhar wooden Bridge | Village Tengajhar | The wooden Bridge at Village Tengajhar over River Suklai which was reported as west part was washed away today morning 12/06/2022.the reparing portion (west part) again was washed away. Approx 3metres.,12-06-2022
1,,Total,1,,12-06-2022
