,infrastructure damaged - bridge,District,Number,Details,Date
0,,Barpeta,4,"Kalgachia - 1. RCC Br. No.1/1 &amp; RCC Br. No.2/1 , 2. RCC Br. No.2/1, 3. RCC Br. 2/1. | 1.Khudrakuchi to Bankabhanga road, 2. Rampur to Titapani road, 3. Barbitha to Muhia road. | As per report received from PWD(R) dept on 21/05/22 the Bridge approach damages as follows- 1. Due to continuous heavy rainfall from last several days RCC bridge No. 1/1 &amp; RCC Bridge No. 2/1 approach damaged at khudrakuchi to Bankubhanga road (PMGSY Package No. AS-01-89) (Length = 300 m, Width = 2.50 m, height = 4.00 m location co- ordinate = 26.320233, 90.826718 &amp;26.322174, 90.825053). 2. Due to continuous heavy rainfall from last several days RCC Bridge No. 2/1 approach damaged at Rampur to Titapani road (PMGSY Package No. AS-01-113) (Length = 100 m, Width = 2.50 m, height = 4.00 m location co- ordinate = 26.315427, 90.818124). 3. Due to continuous heavy rainfall from last several days RCC Bridge No. 2/1 approach damaged at Barbhita to Mohia road (PMGSY Package No. AS-01-89) (Length = 100 m, Width = 2.50 m, height = 4.00 m location co- ordinate = 26.277572,90.764856).",21-05-2022
1,,Total,4,,21-05-2022
