,infrastructure damaged - bridge,District,Number,Details,,,,,,,,Date
0,,Bongaigaon,1,"Manikpur - Manikpur Dompara PMGSY road | Manikpur | 5/1 No Multi barrel HP Culvert including hard crust of the road damaged at 5th km.as per report received PWRD, Bongaigaon date-25.09.2022 | (Long - 90.770068, Lat - 26.440747)",,,,,,,,05-09-2022
1,,Total,1,,,,,,,,,05-09-2022
