object_id,total_livestock_loss
02-023-00003,0
02-023-00004,120
02-023-00006,200
02-023-00007,3
02-024-02110,28
02-024-02114,12
02-024-02115,1
02-024-02119,2
02-024-02127,1
02-024-02128,32
02-026-00011,1
02-026-00012,1132
02-026-00014,344
02-026-00015,29
02-027-00024,2
02-027-00025,1
02-027-00032,3
02-028-02854,0
02-028-02859,2
02-029-00065,5
02-029-00066,2
02-029-00068,1
02-031-00057,6
02-031-00059,2
02-031-00060,6
02-031-00062,2
02-031-00064,5
02-032-00056,1
02-033-00034,3
02-033-00047,3
02-034-00009,10
02-034-00010,1018
02-034-01705,89
