,erosion,District,Details,Date
0,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Total Inmates 718. Nachankuri no 3(Temp.Shelter) Male=41 Female=48 Child=73 Total=162(Latitude=26.458454 Longitude=90.662741). Medical Team-2 Nos. Date- 11.07.2022. | 880,  Srijangram - No erosion has been observed at present situation | Due to earlier erosion 2 nos. of relief camp and 2 nos. of temporary shelters are still in operation. These are 1. Dubachuri part I embankment (inmates:145 nos.) 2. Jopea Boroichala Temp Shelter ( inmates: 110 nos.) 3. Santoshpur part II MVS ( inmates : 156 nos. 4. Bhaduripara LP school ( inmates : 103 nos.) Medical Team-5 Nos, Date 11.07.2022 | 514",11-07-2022
1,,Dhubri,"Bilasipara - Barshi Pt-I and Pt-II, under Bilasipara Revenue Circle | • Name of Village:- Barshi Pt-I and Pt-II • Date of incident:- 08-07-2022 to 10-07-2022 • GPS co-ordinates:- 1. Lat:- 26.2786830 N & Long:- 90.2716630 E 2. Lat:- 26.2722410 N & Long:- 90.2688610 E • Land eroded:- Land measuring around 01 Bigha- 02 Katha -15 Lessa. • Population:- Nil | 0",11-07-2022
2,,Dima-Hasao,"Haflong - 1.Harangajao Town and sorrounding areas, 2.Mahur Town, 3.Maibang town and sorrounding areas, 4.Maibang Langting, 5.Borowapu Village, 6.Jinam Ghat Market area 7.Muolhoi village | 1. As the water level of Jatinga River exceeded its danger level embankments at Boronarayanpur, Harangajao Town, Maharajpur, Rangapur, Boro Moulkoi, Lalabasti, Ditokcherra were severely damaged Also many houses near the riverside were also damaged between 17th May to 18th June 2022. 2. Due to high rise in the water level of Mahur river Embankments and private properties were severely affected between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division 3. Again due to high rise in the water level of Mahur River Embankments and private properties at Harishchandrapur village, Maibang Town, Kalachand village, Maibangkro and Khailimdisa were severely affected between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division 4. Langting village near Hanging Bridge and Langting Kalibari (Mouli Camp area) also observed embankments and property loss due to high rise in water level of Langting River between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division 5. Borowapu village suffered severe damage in embankments and property losses due to high rise in water level of both Brasang river and Missidisa river between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division 6. Jinam ghat village (Market area) suffered serious damage due to High water level between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division 7. Muolhoi village encountered heavy looses of property due to Muolhoi Nalla between 17th May to 18th June 2022 as per information recieved from Executive Engg Haflong Water Resource Division | 0",11-07-2022
3,,Tinsukia,Doomdooma - Village: No. 2 Na-Barmura ( Canopas) | River Bank erosion is being observed at No. 2 Na- Barmura (Canopas)on the left Bank of River Brahmaputra since 03/07/2022 till 11/07/2022. As per information received from WR department officials the affected stretch is about 81 m in length. | 0,11-07-2022
