,erosion,District,Details,Date
0,,Barpeta,"Chenga - Mahchara K, Mahchara NC | Approx. 5 bighas land eroded by the river Brahmaputra at Mahchara K, Mahcahar NC villages reported by Lot Mandal on 5/7/2022 | 0,  Kalgachia - 1. Balaipather vill | As reported by concerned LM on 05/07/22, total 2 nos of kutcha houses are fully eroded due to ongoing erosion of river Beki on 04/07/2022, land eroded- 0B-2K-05L. | 7",05-07-2022
1,,Bongaigaon,"Manikpur - Bashbari Part 2 , Nachankuri no 3 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Total Inmates 718. , Erosion took place in Nachankuri 3 due to River aie on date-05.07.2022 approx 60 mtr. Latitude- 26.470307 Longitude- 90.685756 . Nachankuri no 3(Temp.Shelter) Male=41 Female=48 Child=73 Total=162(Latitude=26.458454 Longitude=90.662741)GR Distribution Rice=8.932qtl. M.Dal=1.554 qtl. M.Oil=46.62 Ltr. Salt=0.4662 qtl. Bashbari no 2 (Temp.Shelter) Male=250 Female=150 Child=82 Total=482 (Latitude-26.409483 Longitude-90.748884)Medical Team-2 Nos date- 05.07.2022 | 1362,  Srijangram - Dubachuri Part I, Santoshpur part II, Kacharipety Part III and Jopea Boroichala | two temporary shelters and two camps are in operation. 1.Dubachuri part I Embankment 2. Jopea Boroichala Temporary shelter 3.Santoshpur part II MV School and 4. Bhaduripara LPS. Medical Team- 7 Nos. date-05.07.2022 | 616",05-07-2022
2,,Chirang,"Bengtal - Sishubari | Erosion taking place at village Sishubari since 01-07-2022, L-100m B-30m D-3m | 4",05-07-2022
3,,Dhemaji,Sissiborgaon - Bhagawan Borgarah | The area affected by the Dimow Rver following dawon from Arunachal Pradesh. The Kuccha houses of 2 nos. of families (population 16 nos.) were washed away by Erosion by The river Dimow on 29/06/22 | 16,05-07-2022
4,,Hailakandi,Hailakandi - Bashdhar pt 2 & Bajantipur pt 1 under Hailakandi Revenue circle on dtd 04.07.2022 . | Name of scheme(1)-Improvement of Dhaleswari and katakal Drainage basin ph -ii moragang M/E on R/B of river katakal for A/E chainge -70 to 290& chainage 950 to 1200 m and R/S from chainage 0 to 1650 munder Hailakandi Revenue circle...(.2)Name of Scheme- Drainage facility of Ratanpur area on R/B of river katakal from berakhal to Bagarghool from A/E chainage 990 m to 1400 m and R/s from 0 to 3650 m . | 0,05-07-2022
5,,Lakhimpur,"Dhakuakhana - Gudan Takarrchuk Area | Severe bank erosion observed at Gudan Takarrchuk area by River Brahmaputra. Length: 425 M. From 04/07/2022, as reported by water resources Division, Dhakuakhana. | 0",05-07-2022
6,,Morigaon,"Laharighat - Leruamukh, Goroimari PWD road , Bhajaikhati gaon & Barchapori | As per report received from the Water Resources dept on 05/07/2022, erosion is observed in areas like Leruamukh, Goroimari PWD road , Bhajaikhati gaon & Barchapori with maximum erosion of 2 m in Leruamukh, 0 m in Goroimari PWD road , 1 m in Bhajaikhati gaon & 1 m in Barchapori. | 0",05-07-2022
7,,Tinsukia,"Sadiya - Koilabasti , Lakhimpuria | 1. Active erosion is reported from Koilabasti area by Kundil river. Reported by concern Gaon pradhan. Stretch area is 25m. From date 30/07/2022 to 05/07/2022. Long 27°50'48.8""N, Lati 95°42'45.2""E. 2.Bank erosion by Kundil river is reported by Gaon pradhan at Lakhimpuria. Stretch area is 22m. Date from 30/06/2022 to 05/07/2022. | 0",05-07-2022
8,,Udalguri,Khairabari - 1. Baripara 2. No.1 Bainara | 1. The embankment of the Dimila river is eroded by overflowing flood water at Baripara. Length: 50 M (approx.) Date: 04.07.2022. GPS Coordinates: Lat- 26.520629 Long- 91.814446. Population affected: 150 (approx.). 2.. Erosion caused by heavy rainfall & overflowing flood water of Khuti Nodi/River at No.1 Bainara. Length: 100 M (approx.) Date: 04.07.2022. GPS Coordinates: Lat- 26.519182 Long- 91.793728. Population affected: 250 (approx.). | 0,05-07-2022
