,erosion,District,Details,,,,,,,Date
0,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=45 Female=50 Child=30 Pregnant=0 Disability=0Total=125(Latitude-26.39971 Longitude-90.753438) (2)Nabajyoti Club Temp.Shelter, Male=65 Female=70 Child=50 Pregnant=0 Total=185(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Total Inmates-310. Medical Team- 2 Nos. date- 25.08.2022, Total Population-310. erosion continues to Bashbari par 2. on 25.08.2022. | 0",,,,,,,25-08-2022
1,,Sonitpur,Chariduar - Bank erosion is going on the right bank of river Jiabharali at Rajgarh Village date 25/08/2022 | | 0,,,,,,,25-08-2022
