,erosion,District,Details,,,,,,,Date
0,,Biswanath,Halem - Upsteam of Kalyani Than (Dipara Dani Village) | Erosion observed at upstream of Kalyani Than on R/Bank of River Brahmaputra on 18-10-2022. | 0,,,,,,,18-10-2022
1,,Dibrugarh,"Dibrugarh East - PHILONUGURI GRANT 4/152 NO ORR GRANT (MAIJAN TE PUCCA LINE) | 12 no of houses are washed away as reported by Water Resource Division Dibrugarh, Gaon Pradhan and Ward member of the Maijan GP as on 17.10.2022. Length reached 400 m. GPs Co-Ordinates - 27.30'59.43"" N 95.59'33.31""E to 27.30'56.40""N 94.59'6.76""E | 485",,,,,,,18-10-2022
2,,Morigaon,"Laharighat - Leruamukh | As per report of Water resources Dept on 18-10-22, erosion is observed in Leruamukh with max erosion of 3 m | 0",,,,,,,18-10-2022
