,erosion,District,Details,Date
0,,Bongaigaon,"Boitamari - Iswarjhari | Bank Erosion continues at Iswarjhari, Kheluwapara, for a reach length 200m on R/B of river Brahmaputra under Boitamari Rev. Circle. as per report received from E.E Water resources Dept. dated 28.09.2022 | 0",28-09-2022
1,,Morigaon,"Laharighat - Leruamukh | As per report of the Water Resources Dept on 28-09-2022, erosion is observed in Leruamukh with max of 2m. | 0",28-09-2022
