,erosion,District,Details,,,,,,,Date
0,,Biswanath,Halem - Upstream of Kalyani Than (Dipara Dani Village) | Erosion observed at upstream of Kalyani Than on R/Bank of River Brahmaputra on 17-10-2022. | 0,,,,,,,17-10-2022
1,,Dibrugarh,Dibrugarh East - PHILONUGURI GRANT 4/152 NO ORR GRANT (MAIJAN TE PUCCA LINE | GR DISTRIBUTED TO THE FOLLOWING 83 FAMILIES - RICE - 11.93 QNTLS DAL - 2.2 QNTLS SALT - 43 PKT M.OIL - 83 (200ML) PKT CERELAC - 45 TARPAULIN - 83 ( From 8 to 17 October Total Tarpaulin - 134) 8 NO OF FAMILIES ARE WASHED AWAY AS REPORT RECEIVED FROM GAON PRADHAN AND MAIJAN PANCHAYAT WARD MEMBER. REST 75 FAMILIES SHIFTED THEIR HOUSES AND TAKING SHELTER AT OCKLAND DYKE. DISTRIBUTION CENTRE - OCKLAND DYKE GPS CO-ORDINATE OF DISTRIBUTION CENTRE AND OCKLAND DYKE - LAT - 27.514 AND LONG - 94.988 | 485,,,,,,,17-10-2022
2,,Morigaon,"Laharighat - Leruamukh | As per report of the Water Resources Dept on 17-10-2022, erosion is observed in Leruamukh with max erosion of 2m | 0",,,,,,,17-10-2022
