,erosion,District,Details,,,,,,,Date
0,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Bashbari no 2 Temp.Shelter, Male=55, Femele=45, Child=25,(Toatl=125,Latitude-26.4709483 Longitude-90.748884)Total Inmates 843. Medical Team- 2 Nos. date- 13.08.2022, Total Population-843. erosion continues to Bashbari par 2. on 13.08.2022 | 0,  Srijangram - Tinkonia part I | Erosion has been reported at Tinkonia part I on river bank of Manas -Brahmaputra.No house damage has been reported due to today's erosion at the said place. Length-1-1.50 k.m. Date-13.08.2022 | 0",,,,,,,13-08-2022
1,,South Salmara,South Salmara - Khopati Pt-I and Bowali | As per information received from concerned EE WR erosion occurred at village Khopati Pt-i and Bowalia by the river Brahmaputra an 12/8/22 area length 1500 m and breath 30 m. | 0,,,,,,,13-08-2022
