,erosion,District Details,,,Date
0,,Biswanath Gohpur - Erosion occured on Solengi River Embankment | Erosion occures at R/Bank,,,21-08-2022
1,,,of at Nalbari and L/Bank embankment due to abrupt rise of Solengi River water at 2.40 PM As par water Resources 21/08/2022 | 0,,21-08-2022
2,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Bashbari no 2 Temp.Shelter, Male=55, Femele=45, Child=25,(Toatl=125,Latitude-26.4709483 Longitude-90.748884)Total Inmates 843. Medical Team- 2 Nos. date- 21.08.2022, Total Population-843. erosion continues to Bashbari par 2. on 21.08.2022, Medical Team-2 | 0",,21-08-2022
