,erosion,District,Details,,Date
0,,Bongaigaon,"Boitamari - Jhaukura pt-2 | The river Brahmaputra causes Severe erosion at vill - Jhaukura pt-2 ( approx 2.5 km) 39 no.s of family dismantle their houses from this village. House Damaged- Kuccha Fully-66 Nos. Population- 231. Dated-21/09/2022 | 0,  Manikpur - Bashbari Part 2 | River aie Erosion took place around 1300 mtr. On bashbari pt I I w.e.f 17/06/2022 to 30/06/2022. Due to erosion One (1) Nos of Relief camp opened in Tilpukhuri ME Madrasa ,Male=45 Female=50 Child=30 Pregnant=0 Disability=0Total=125(Latitude-",,21-09-2022
1,,,"26.39971 Longitude-90.753438) since 17.06.2022 to till date 01.07.2022/Total Inmates-125. Medical Team- 1 Nos. Date- 21.09.2022, Total Population-125 till date. | 0",,21-09-2022
2,,Dhubri,"Agamoni - Village P. Kanuri Pt-II under Lakhimari GP under Agomani Rev. Circle. | • Name of the village: P. Kanuri Pt-II under Lakhimari GP • Date of Incident: 16th September’2022 to 21st September’2022. • Time: 1.00 PM. • River: Gangadhar • GPS Co-ordinates: Lat: 26.134878, Long: 89.797658 • Land: 1B-3K-5L. • Population and household damage: Nil. | 0",,21-09-2022
3,,Morigaon,"Laharighat - Leruamukh | As per report of the water resources Dept on 21-09-2022, erosion is observed in Leruamuk with maximum of 3 m. | 0",,21-09-2022
4,,Sonitpur,"Tezpur - Kalibari Rajah Sahar | Dated: 21/09/2022. As reported by Tezpur Water Resource Division, Tezpur erosion is observed on the right bank of the Brahmaputra river at Kalibari Rajah Sahar village under Mahabhairab Mouza. Length: 100m ( approx, including the stretch as reported earlier on 09/09/2022 & 19/09/2022) | 0",,21-09-2022
