,erosion,District,Details,Date
0,,Barpeta,"Chenga - Bahari reserve | under 14th F/C, RCC Pakka Drain, 2 Nos, Earth Filling, Bahari High School partially damaged reported by BDO,Gomafulbari Block on 7/7/2022 | 0",08-07-2022
1,,Biswanath,"Biswanath - Right Bank of river Borgang Near solmari mising gaon | Severe bank erosion near Solmari Mising Gaon area on the right bank of river Borgang. average width of bank erosion 6 m. on 08/07/2022 | 0,  Halem - Paken | As reported by Water Resources Gohpur on 08/07/2022, bank erosion continues at Paken area on R/B of river Brahmaputra | 0",08-07-2022
2,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Total Inmates 718. Nachankuri no 3(Temp.Shelter) Male=41 Female=48 Child=73 Total=162(Latitude=26.458454 Longitude=90.662741) . Medical Team-2 Nos. Bashbari no 2 distribution center (Latitude-26.415388 Longitude-90.753695) House Damage=Fully Kucha 10 nos. 2 no Bashbari & Fully Kucha 10 nos. 3 no Nachankuri. date- 08.07.2022. | 880,  Srijangram - Chillyapara Part II ( 90.252535 26.413547) ,Kahibari ( 90.902538 26.423041) ,Mahanpur part ii (90.524110 26.183051)Santoshpur Part II ( 90.733628 26.328426), Kacharipety Part III ( 90.732262 26.356362) Dubachuri Part I(90.709425 26.275334) and Jopea Boroichala (90.778688 26.358444) | Camps/Temporary shelters are in operation: 1. Dubachuri Part I Embankment Temp Shelter (inmates:205) 2. Santoshpur part II MV School(198) Camp 3. Bhaduripara LP School(inmates:103) Camp 4.Jopea Boroichala Temporary Shelter (110)(inmates:110).Medical Team- 4 Nos, Date- 08.07.2022 As per LM report due to erosion at kahibari 4 nos. of house got damaged (population-22 nos.), , at chillyapara part ii 2 nos. houses got damaged (popn-11 nos.) and mahanpur pt ii 35 nos. of houses got damaged (popn-192 nos.) . | 841",08-07-2022
3,,Darrang,"Dalgaon - Kawadanga | as per report received from L.M on 08-07-2022, erosion occurred at village kawadanga, Dag No-620,132,162,165 and 163 about 11bigha. Date of occurrence - 16-06-2022 | 32",08-07-2022
4,,Majuli,Ujani Majuli - Kamjan Alengi | Erosion took place at Kamjan Alengi Gaon on 07-07-2022. 3 nos. of families have been shifted and GR items also distributed. | 13,08-07-2022
5,,Morigaon,"Laharighat - Leruamukh ,Goroimari PWD road, Borchapori & Bhajakhaiti | As per report received from Water Resources Dept on 8/7/2022, erosion is observed in areas like Leruamukh ,Goroimari PWD road, Borchapori & Bhajakhaiti with max erosion of 2 m in Leruamukh. 0m in Goroimari PWD road, 0m in Borchapori & 0 m in Bhajakhaiti | 0",08-07-2022
6,,Nalbari,Paschim Nalbari - Bihampur Simaliya Road | Erosion due to heavy rain information received from PWRD Dept. as on 08/07 /2022 | 0,08-07-2022
7,,Tamulpur,"Goreswar - Village Barghuli | As per report received from Water Resource department on 08/07/2022, severe erosion taking place at Village Barghuli (mowamari suba) left bank of River Borolia. | 20",08-07-2022
8,,Tinsukia,Doomdooma - Village: No. 2 Na-Barmura ( Canopas) | River Bank erosion is being observed at No. 2 Na- Barmura (Canopas)on the left Bank of River Brahmaputra since 03/07/2022 till 08/07/2022. As per information received from WR department officials the affected stretch is about 80 m in length. | 0,08-07-2022
9,,Udalguri,"Udalguri - Sarbaherua | Bank erosion from Mara Dhansiri at Sarbaherua ( near Lakhsmi Seed Farm) village around 100m on 08.07.2022. | 0,  Mazbat - sonajuli | erosion occurred at R/B of river Pasnoi at village sonajuli near Jingabil on 22/6/2022 | 0,  Khairabari - 1. Mahaliapara 2. Mahaliapara 3. Majgaon 4. Sareng | 1. Severe erosion by Khaplang River near Dhiresh Medhi's paddy field at Mahaliapara Village. Date: 07.07.2022. Length & Breadth: 120 x 3 M (approx.) GPS Coordinates: Lat- 26.634327 Long- 91.815702 Population Affected: 100 (approx.) 2. Severe erosion by Khaplang River near Bhergaon Agriculture Farm at Mahaliapara Village. Date: 07.07.2022. Length & Breadth: 100 x 3 M (approx.) GPS Coordinates: Lat- 26.639391 Long- 91.814077 Population Affected: 150 (approx.) 3. Erosion at Majgaon village by local dong near Agla Boro's paddy field and Bathu Mandir. Date: 07.7.2022. Length & Breadth: 75 x 2 M (approx.) GPS Coordinates: Lat- 26.668726 Long- 91.795748. Population affected: 80 (approx.) 4. Severe erosion by Khutinodi at Sareng village near Sachin Kalita's paddy field & Dakhin Chinakona LP School. Date: 07.7.2022. Length & Breadth: 70 x 3 M (approx.) GPS Coordinates: Lat- 26.3022482 Long- 91.488706. Population affected: 200 (approx.) | 0",08-07-2022
