,erosion,District,Details,,,,,,,Date
0,,Biswanath,Halem - Dipara Dalani Village | Active erosion is observed at upstream of protection work at Dipara Dalani Village of river Brahmaputra reported by water resource department on 10/10/2022. | 0,,,,,,,10-10-2022
1,,Bongaigaon,"Manikpur - Nachankuri no 3 | Erosion of around 1000 mtr. at 3 no Nachankuri. 12 Nos. House Damage totally fully kutcha dated 10.10.2022. Total population- 62 | 0,  Srijangram - Tinkonia Part II | Erosion has been reported at Tinkonia Part II since 08.10.2022 on river bank of Manas-Brahmaputra in a length of 100 m Approximately . As a result , 8 nos. of houses have been dismantled and shifted to safer place. erosion is still going on 10.10.2022. | 0",,,,,,,10-10-2022
2,,Dhubri,"Agamoni - Village Kaimari Pt-I and Bholarkhas under Kaimari GP and Chotoguma GP under Agomani Rev. Circle | • Name of the village: Bholarkhas under Chotoguma GP. • Date of Incident: 01/10/2022 to 10/10/2022 • Time: 3.00PM. • GPS Co-ordinates: Lat: 26.3078053, Long: 89.8036509 • Land: 1B-2K-10L. • Household damage: 7 Nos. • Population: 35 Nos. They have shifted their houses to another place by themselves. • Name of the village: Kaimari Pt-I under Kaimari GP. • Name of River: Gangadhar. • Date of Incident: 01/10/2022 to 10/10/2022. • Time: 3.00PM. • GPS Co-ordinates: Lat: 26.307824, Long: 89.803718 • Land: 1B-1K-10L. • Household damage: 14 Nos. • Population: 72 Nos. They have shifted their houses to another place by themselves. | 107",,,,,,,10-10-2022
3,,Dibrugarh,"Dibrugarh East - 16/177 ORR Grant (Nagaghoolie Kachari Line) | As per report received from Water Resource division Dibrugarh, Bank erosion continuing from last 08/09/2022. 1200 m of land eroded till date (Approx). GPS Co-ordinates are 27.31'32.63"" N 95.0'41.76""E to 27.31'3.87"" N 94.59'22.16"" E | 223",,,,,,,10-10-2022
4,,Morigaon,"Laharighat - Leruamukh | As per report of the Water Resources dept on 10-10-22, erosion is observed at Leruamukh with max erosion of 3 m. | 0,  Bhuragaon - Lengribori | Bhrahmaputra river erosion eroded 3 meter from 07-10-2022 to 09-10-2022 | 0",,,,,,,10-10-2022
5,,Sonitpur,Tezpur - Koroiani Nepali | 10/10/2022. As reported by Water Resource Tezpur Division erosion is observed on the down stream of the Jia Bharali river at Koroiani Nepali village. Stretch: 250 m (approx) | 0,,,,,,,10-10-2022
