,erosion,District,Details,,,,,,,Date
0,,Bongaigaon,"Manikpur - Bashbari Part 2 | Erosion of around 1300 mtr. had occurred w.e..f 17/06/2022 to 30/06/2022.Two (2) Nos of Relief camp opened due to the said erosion (1) Tilpukhuri ME Madrasa ,Male=179 Female=165 Child=124 Pregnant=1 Disability=1 Total=470(Latitude-26.39971 Longitude-90.753438) (2)3 no. Bashbari LP School, Male=86 Female=83 Child=77 Pregnant=2 Total=248(Latitude-26.426476 Longitude-90.759589) since 17.06.2022 to till date 01.07.2022/Bashbari no 2 Temp.Shelter, Male=55, Femele=45, Child=25,(Toatl=125,Latitude-26.4709483 Longitude-90.748884)Total Inmates 843. Medical Team- 2 Nos. date- 12.08.2022, Total Population-843. erosion continues to Bashbari par 2. on 12.08.2022 | 0",,,,,,,12-08-2022
1,,Dhubri,South Salmara Part - Sundarpara pt | As per information received from BEEO South Salmara 1/ Sundarpara ME Madrassa has been eroded due to erosion by river Brahmaputra at village Sundarpara on 3/8/22. Area 2B-2K-0L Lat-26.04 Long - 90.04 2/ Naimi Sundarbala LP School has been eroded due to erosion by river Brahmaputra on 5/8/22.area 2B-0K-0L. | 0,,,,,,,12-08-2022
2,,South Salmara,"Mankachar - 1. Mankachar Pt-II 2. Fulerchar Pt-III | As per report received from In-Charge control Room, Hatsingimari W.R Sub-Division, Hatsingimari, an Erosion causing damaged of land measuring of Mankachar Tinali length - 350 M & Breadth-5.00 M and Bangrichar, Newjespur and Barmanpara length-2500 M and Breadth-15 M. Occurred at Rev. village of Mankachar Pt-II and Fulerchar Pt-III on 12/08/2022. | 0,  South Salmara - Khopati Pt-II, Khopati Pt-III, Brahmaputra Berabhanga | 1/ As per information received from EE PWD erosion occurred at village Khopati Pt-ii and Pt-III by the river Jinjiram on 11/8/22 area Approx. length - 1 km breath - 25 m Lat - 25.28 Long - 89.59 2/ as per information received from concerned Gaon Pradhan 3 nos family has been eroded due to erosion by river Brahmaputra at village Brahmaputra Berabhanga under South Salmara rev Circle on 11/8/22 area Approx. 5 B-2 K-10 L Lat 25.81 Long - 89.91 | 14",,,,,,,12-08-2022
3,,Udalguri,Udalguri - 1. Phulbari 2. Bhairabkunda | 1. Erosion Occured on the R/B of Khawrang river at Phulbari village around 340m on 11.08.2022. GPS - Lat - 26.850884 Long - 92.086578 2. Erosion Occured on the R/B of Daifang river at Bhairabkunda (near Bus Stand & SSB Camp) village around 150m on 11.08.2022. GPS - Lat - 26.887095 Long - 92.114411 | 0,,,,,,,12-08-2022
