,erosion,District,Details,,Date
0,,Bongaigaon,"Boitamari - Jaukurata pt-2 to Kheluapara pt-1 vill | Erosion of River Brahmaputra has been taking place since last week ( 03/ 09/2022)at vill- Jaukura pt-2 and Kheluapara pt-1 (approx 2.5 km) under Pachim majeralga GP. After field verification, it has been observed that 22 number of families had dismantled their houses and shifted to their own land/ safer places which is far away from erosion site. Dated: 15/09/2022 | 127,  Manikpur - Bashbari Part 2 | River aie Erosion took place around 1300 mtr. On bashbari pt I I w.e.f 17/06/2022 to 30/06/2022. Due to erosion One (1) Nos of Relief camp opened in Tilpukhuri ME Madrasa ,Male=45 Female=50 Child=30 Pregnant=0 Disability=0Total=125(Latitude-26.39971 Longitude-90.753438) since 17.06.2022 to till date 01.07.2022/Total Inmates-125. Medical Team- 1 Nos. Date- 15.09.2022, Total Population-125 till date. | 0",,15-09-2022
1,,Golaghat,"Golaghat - Chawdang Pathar, Toranichuk | Erosion due to river Ghiladhari dated on 14-09-2022, length approx 60 m. | 0",,15-09-2022
2,,Lakhimpur,North Lakhimpur - Ghancharai Teliapathar | A breach-like damage has occurred on Subansiri R/B embankment at Ghancharai-Teliapathar area due to severe bank migration of river Subansiri. Shifting of embankment is in progress reported by water resource department North Lakhimpur on 14-09-2022 | 0,,15-09-2022
3,,Morigaon,Bhuragaon - Lenengeribori | As per water resource department erosion started at Lengeribori village and eroded 3 meter from 14th sept to 15th sept 2022 | 0,,15-09-2022
