,erosion,District,Details,,Date
0,,Bongaigaon,"Boitamari - Pub Majeralga Gp ( vill- Iswarjhari Pt-2, Iswarjhari pt-1 NC, Dinnathpur,Bhutkura pt-3) | The River Brahmaputra causes severe erosion at Pub Majeralg GP. The erosion affected villages are- Iswarjhari Pt-2, Iswarjhari pt-1 NC, Dinnathpur,Bhutkura pt-3 3Dinnathpur. Approx. 4.68 hactor land has been eroded. 47 no.s family dismantle their houses. Dated- 19/09/2022 | 307,  Manikpur - Bashbari Part 2 | River aie Erosion took place around 1300 mtr. On bashbari pt I I w.e.f 17/06/2022 to 30/06/2022. Due to erosion One (1) Nos of Relief camp opened in Tilpukhuri ME Madrasa ,Male=45 Female=50 Child=30 Pregnant=0 Disability=0Total=125(Latitude-",,20-09-2022
1,,,"26.39971 Longitude-90.753438) since 17.06.2022 to till date 01.07.2022/Total Inmates-125. Medical Team- 1 Nos. Date- 20.09.2022, Total Population-125 till date. | 0",,20-09-2022
2,,Morigaon,"Laharighat - Leruamukh and Borchapori | As per report received from the Water resources dept on 20-09-2022, erosion is observed in areas like Leruamukh and borchapori with maximum erosion of 3 m and 2 m respectively. | 0",,20-09-2022
