,erosion,District,Details,,Date
0,,Bongaigaon,"Manikpur - Bashbari Part 2 | River aie Erosion took place around 1300 mtr. On Bashbari pt II w.e.f 17/06/2022 to 30/06/2022. Due to erosion One (1) Nos of Relief camp opened in Tilpukhuri ME Madrasa ,Male=45 Female=50 Child=30 Pregnant=0 Disability=0Total=125(Latitude-26.39971 Longitude-90.753438) since 17.06.2022 to till date 01.07.2022/Total Inmates-125. Medical Team- 1 Nos. Date- 12.09.2022, Total Population-125 till date. | 0",,12-09-2022
1,,Dhubri,South Salmara Part - Sundarpara pt-iii | As per information received from BEEO South Salmara Sundarpara Pt-III LP School has been eroded due to erosion by river Brahmaputra at village Sundarpara pt-iii as on 10/09/2022. Area 0B-2K-10L. | 0,,12-09-2022
2,,Morigaon,"Morigaon - Disping | As per Water Resource dept, dtd. 08-07-2022, Damaged section of the Kopili Right Bank embankment in between AT road to Railway Bridge at Disping area. | 0,  Laharighat - Leruamukh and Borchapori | As per report of the Water Resources dept on 12-9-22, erosion in observed in areas like Leruamukh and Borchapori with maximum erosion of 2m and 1 m respectively. | 0",,12-09-2022
