object_id,Preparedness Measures_tenders_awarded_value
02-023-00003,16045917.0
02-024-02110,2239688.0
02-024-02118,22955074.0
02-024-02119,3059935.0
02-024-02122,1718625.0
02-024-02127,12211569.0
02-024-02128,11087526.0
02-024-02131,1851552.0
02-026-00012,3776388.0
02-027-00019,1926058.0
02-028-02855,2063732.0
02-029-00066,3931969.0
02-029-00068,7145446.0
02-029-00069,8466354.0
02-031-00057,20192569.0
02-032-00048,10584138.0
02-033-00037,10721058.0
02-034-00010,2425665.0
02-034-01706,4623190.0
