object_id,relief_and_mitigation_sanction_value
02-030,37000000.0
02-023,109000000.0
02-028,44499999.99999999
02-024,136000000.0
02-034,29500000.0
02-026,79000000.0
02-025,29500000.0
02-027,126000000.0
02-033,111000000.0
02-031,37000000.0
02-029,39500000.0
02-029,19366998.0
02-023,13662410.0
02-030,0.0
02-027,5115000.0
02-026,20000000.0
02-033,8111400.0
02-024,5267000.0
02-030,42500004.25
02-023,115500011.55
02-028,35000004.5
02-024,145000014.5
02-034,33500003.35
02-026,99500009.95
02-025,29000002.9
02-027,130000013.0
02-033,125000013.5
02-031,40000004.0
02-029,62500006.25
