district,revenue_ci,date,population_affected
16.08.2023,Dhemaji,Sissiborgaon,1428
16.08.2023,Dhemaji,Dhemaji,301
16.08.2023,Dhemaji,Jonai,1024
16.08.2023,Dibrugarh,Dibrugarh,0
16.08.2023,Dibrugarh,Chabua,0
16.08.2023,Dibrugarh,Dibrugarh,210
16.08.2023,Golaghat,Bokakhat,0
16.08.2023,Sivasagar,Nazira,505
16.08.2023,Sivasagar,Amguri,0
16.08.2023,Sivasagar,Sivsagar,10385
16.08.2023,Sonitpur,Tezpur,0
08.08.2023,Dhemaji,Sissiborgaon,2320
08.08.2023,Dhemaji,Jonai,290
08.08.2023,Dibrugarh,Chabua,3857
08.08.2023,Golaghat,Bokakhat,0
08.08.2023,Jorhat,Teok,303
08.08.2023,Sivasagar,Sivsagar,0
08.08.2023,Sivasagar,Nazira,90
08.08.2023,Sivasagar,Amguri,3
05.08.2023,Dhemaji,Sissiborgaon,2764
05.08.2023,Dhemaji,Dhemaji,480
05.08.2023,Dhemaji,Jonai,396
05.08.2023,Dibrugarh,Dibrugarh,177
14.08.2023,Chirang,Bengtal,2013
14.08.2023,Chirang,Bijni,225
14.08.2023,Darrang,Sipajhar,300
14.08.2023,Dhemaji,Jonai,27114
14.08.2023,Dhemaji,Sissiborgaon,3973
14.08.2023,Dibrugarh,Moran,158
14.08.2023,Dibrugarh,Tingkhong,0
14.08.2023,Dibrugarh,Naharkatia,5
14.08.2023,Dibrugarh,Dibrugarh,157
14.08.2023,Dibrugarh,Dibrugarh,395
14.08.2023,Golaghat,Golaghat,0
14.08.2023,Golaghat,Khumtai,0
14.08.2023,Golaghat,Sarupathar,0
14.08.2023,Golaghat,Bokakhat,0
14.08.2023,Kokrajhar,Dotma,984
14.08.2023,Kokrajhar,Gossaigaon,437
14.08.2023,Sivasagar,Nazira,14907
14.08.2023,Sivasagar,Amguri,0
14.08.2023,Sivasagar,Sivsagar,14476
14.08.2023,Sivasagar,Demow,0
14.08.2023,Sonitpur,Naduar,508
14.08.2023,Sonitpur,Chariduar,0
29.08.2023,Biswanath,Halem,15003
29.08.2023,Biswanath,Gohpur,22417
29.08.2023,Chirang,Bijni,283
29.08.2023,Chirang,Bengtal,1489
29.08.2023,Chirang,Sidli,558
29.08.2023,Darrang,Mangaldoi,783
29.08.2023,Darrang,Patharighat,508
29.08.2023,Darrang,Dalgaon,7050
29.08.2023,Darrang,Sipajhar,19600
29.08.2023,Dhemaji,Jonai,11134
29.08.2023,Dhemaji,Sissiborgaon,9000
29.08.2023,Dhemaji,Dhemaji,218
29.08.2023,Dhubri,Golakganj,0
29.08.2023,Dhubri,Agamoni,1946
29.08.2023,Dhubri,Chapar,0
29.08.2023,Dibrugarh,Dibrugarh,1056
29.08.2023,Dibrugarh,Chabua,10278
29.08.2023,Dibrugarh,Dibrugarh,486
29.08.2023,Goalpara,Balijana,0
29.08.2023,Golaghat,Bokakhat,31438
29.08.2023,Golaghat,Khumtai,2928
29.08.2023,Golaghat,Dergaon,6555
29.08.2023,Jorhat,Teok,294
29.08.2023,Jorhat,Jorhat,9
29.08.2023,Kamrup,Hajo,0
29.08.2023,Kamrup (M),Chandrapur,3109
29.08.2023,Kokrajhar,Kokrajhar,0
29.08.2023,Kokrajhar,Dotma,0
29.08.2023,Lakhimpur,North,47637
29.08.2023,Lakhimpur,Narayanpur,12128
29.08.2023,Lakhimpur,Bihpuria,11469
29.08.2023,Lakhimpur,Dhakuakhana,655
29.08.2023,Majuli,Majuli,35030
29.08.2023,Majuli,Ujani,12133
29.08.2023,Morigaon,Mayong,0
29.08.2023,Morigaon,Bhuragaon,10633
29.08.2023,Nagaon,Samaguri,0
29.08.2023,Nagaon,Kaliabor,0
29.08.2023,Nalbari,Tihu,0
29.08.2023,Nalbari,Nalbari,0
29.08.2023,Nalbari,Banekuchi,24
29.08.2023,Sivasagar,Sivsagar,20204
29.08.2023,Sivasagar,Demow,1550
29.08.2023,Sonitpur,Chariduar,0
29.08.2023,Sonitpur,Tezpur,4393
29.08.2023,Sonitpur,Thelamara,140
29.08.2023,Tamulpur,Goreswar,4412
