object_id,structure_lost
02-023-00003,6.0
02-023-00004,16.0
02-023-00007,101.0
02-024-02110,33.0
02-024-02119,1.0
02-024-02123,43.0
02-024-02126,54.0
02-024-02127,13.0
02-026-00011,1.0
02-027-00023,53.0
02-027-00024,30.0
02-027-00025,15.0
02-027-00026,40.0
02-027-00029,40.0
02-027-00031,37.0
02-027-00032,25.0
02-027-00033,100.0
02-027-03430,72.0
02-028-02854,11.0
02-028-02855,7.0
02-028-02858,33.0
02-028-02859,7.0
02-028-02860,2.0
02-029-00068,828.0
02-030-02105,17.0
02-030-02106,2.0
02-030-02107,18.0
02-031-00057,4.0
02-031-00060,6.0
02-031-00062,7.0
02-032-01637,1.0
02-033-00043,9.0
02-033-00045,3.0
02-033-00047,3.0
02-034-01705,11.0
