object_id,structure_lost
02-023-00003,19.0
02-023-00004,127.0
02-023-00005,14.0
02-023-00006,14.0
02-023-00007,33.0
02-024-02122,1.0
02-024-02130,1.0
02-026-00011,177.1
02-026-00012,34.0
02-026-00014,142.0
02-026-00015,33.0
02-027-00023,37.0
02-027-00024,18.0
02-027-00025,94.0
02-027-00026,14.0
02-027-00029,25.0
02-027-00031,30.0
02-027-00032,24.0
02-027-00033,140.0
02-027-03430,404.0
02-028-02854,82.0
02-028-02855,13.0
02-028-02858,88.0
02-028-02859,21.0
02-028-02860,11.0
02-029-00068,4.0
02-030-02104,75.0
02-030-02105,140.0
02-030-02106,66.0
02-030-02107,55.0
02-032-00050,117.0
02-032-00051,104.0
02-032-00053,25.0
02-032-00056,7.0
02-032-01637,32.0
02-034-00009,155.0
02-034-00010,66.0
02-034-01705,28.0
