object_id,structure_lost
02-023-00003,1.0
02-023-00004,1.0
02-023-00007,8.0
02-024-02123,5.0
02-024-02126,3.0
02-024-02130,1.0
02-026-00011,21.0
02-026-00014,28.0
02-027-00023,9.0
02-027-00024,3.0
02-027-00025,5.0
02-027-00029,20.0
02-027-00031,12.0
02-027-00032,3.0
02-027-00033,2.0
02-027-03430,3.0
02-028-02854,11.0
02-028-02855,8.0
02-028-02858,7.0
02-028-02859,5.0
02-029-00068,14.0
02-030-02104,6.0
02-030-02105,22.0
02-030-02106,23.0
02-030-02107,39.0
02-031-00057,2.0
02-031-00060,9.0
02-031-00062,2.0
02-031-00064,4.0
02-032-00050,10.0
02-033-00044,1.0
02-034-01705,57.0
