object_id,structure_lost
02-023-00004,1.0
02-026-00011,920.37
02-026-00014,2.0
02-026-00015,1.0
02-027-00023,238.0
02-027-00024,80.0
02-027-00025,465.0
02-027-00026,44.0
02-027-00029,148.0
02-027-00031,674.0
02-027-00032,454.0
02-027-00033,267.0
02-027-03430,601.0
02-028-02854,122.0
02-028-02855,115.0
02-028-02858,225.0
02-028-02859,51.0
02-028-02860,61.0
02-030-02104,53.0
02-030-02105,190.0
02-030-02106,344.0
02-030-02107,133.0
02-032-00050,13.0
02-032-00051,12.0
02-032-00053,7.0
02-032-00056,2.0
02-032-01637,5.0
