class,age,male,female
0,0 to 1,361.67,317.51
1,1 to 5,1396.19,1223.58
10,10 to 15,1861.84,1651.53
15,15 to 20,1953.98,1817.18
20,20 to 25,1939.06,1908.4
25,25 to 30,1881.68,1882.84
30,30 to 35,2006.59,1965.26
35,35 to 40,1787.74,1763.66
40,40 to 45,1467.07,1609.42
45,45 to 50,1356.29,1464.37
5,5 to 10,1700.23,1512.17
50,50 to 55,1244.61,1421.73
55,55 to 60,1154.02,1161.36
60,60 to 65,848.5,873.72
65,65 to 70,606.38,638.75
70,70 to 75,398.03,504.6
75,75 to 80,336.36,412.31
80,80 and over,326.76,492.87
