class,age,male,female
0,0 to 1,194.98,179.04
1,1 to 5,752.71,689.97
10,10 to 15,971.68,889.29
15,15 to 20,979.68,941.36
20,20 to 25,980.21,962.77
25,25 to 30,913.46,861.01
30,30 to 35,882.53,818.22
35,35 to 40,741.17,713.07
40,40 to 45,648.32,695.65
45,45 to 50,595.93,613.88
5,5 to 10,927.51,833.06
50,50 to 55,530.74,585.93
55,55 to 60,489.23,456.71
60,60 to 65,337.62,341.39
65,65 to 70,250.56,258.14
70,70 to 75,153.91,185.46
75,75 to 80,110.36,129.69
80,80 and over,101.72,140
