class,age,male,female
0,0 to 1,1154.66,978.12
1,1 to 5,4457.42,3769.35
10,10 to 15,5935.44,4798.23
15,15 to 20,6296.11,5594.5
20,20 to 25,5904.97,6136.84
25,25 to 30,5608.87,6205.63
30,30 to 35,5955.18,6331.06
35,35 to 40,5436.15,5749.56
40,40 to 45,4635.75,5273.42
45,45 to 50,4557.56,4980.51
5,5 to 10,5436.27,4489.1
50,50 to 55,4131.44,4765.71
55,55 to 60,4077.91,4048.96
60,60 to 65,3064.84,3039.06
65,65 to 70,2341.92,2352.72
70,70 to 75,1491.17,1826.3
75,75 to 80,1160.57,1432.91
80,80 and over,1089.58,1603.47
