class,age,male,female
0,0 to 1,155.96,132.45
1,1 to 5,602.07,510.4
10,10 to 15,805.16,650.88
15,15 to 20,855.04,758.68
20,20 to 25,789.14,832.06
25,25 to 30,741.18,841.78
30,30 to 35,792.16,864.2
35,35 to 40,729.25,787.76
40,40 to 45,626.53,720.25
45,45 to 50,611.64,680.02
5,5 to 10,738.03,609.25
50,50 to 55,558.74,653.54
55,55 to 60,551.92,558.55
60,60 to 65,419.62,421.53
65,65 to 70,322.44,327.16
70,70 to 75,205.67,258.54
75,75 to 80,160.64,201.97
80,80 and over,154.67,237.18
