class,age,male,female
0,0 to 1,344.04,304.96
1,1 to 5,1328.14,1175.2
10,10 to 15,1925.94,1696.24
15,15 to 20,2149.58,1933
20,20 to 25,2514.83,2217.57
25,25 to 30,2471.3,2146.52
30,30 to 35,2451.08,2109.71
35,35 to 40,2171.03,1898.18
40,40 to 45,1911.39,1798.89
45,45 to 50,1721.43,1586.05
5,5 to 10,1741.57,1552.28
50,50 to 55,1560.82,1474.96
55,55 to 60,1348.44,1107.82
60,60 to 65,858.68,805.57
65,65 to 70,621.05,609.67
70,70 to 75,410.16,445.64
75,75 to 80,322.6,332.75
80,80 and over,279.75,323.89
