Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,MDII,2025_PWD_113550_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",02-Sep-2025 12:00 PM,10-Sep-2025 11:00 AM,02-Sep-2025 12:00 PM,10-Sep-2025 11:00 AM,,,02-Sep-2025 12:00 PM,10-Sep-2025 11:00 AM,12-Sep-2025 03:35 PM,"1,18,800",Yes,fixed,,Nil,Nil,1.0,Due Date Extended for tenders closing on 08-09-2025.,Admin Corrigendum Date Extend,,1.0,ICICI BANK,"2,000",Nil,Nil,Yes,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,providing protection and soil stabilization to bye pass road along Suketi Khad near old Suketi bridge Mandi,Providing cutting work in km 0/270 to 0/300 and construction of Retaining wall at RD 0/270 to 0/300 at vendor market along byepass road Suketi Khad and at RD 0/00 to 0/010 at front side). Under Head OTMNP 5054-04-337-02 D.No.10,Please refer Tender documents.,,"59,39,620",Civil Works,,Tender,75.0,30.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,,,,EE MANDI DIVISION NO-II HPPWD MANDI,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,"Contractor Registration (General Rule No.23,",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card, GST (General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of machinery, equipment, plant and tools by name of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,with name of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Affidavit showing details of gazetted, nongazetted officer working in HPPWD,with name of work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Any other information in SBD as bidder/firm may like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
