revenue_ci,district_3,object_id,district_1,revenue_cr,HQ,area,are_new,sum_population,mean_sexratio,sum_aged_population,sum_young_population
Gossaigaon (Pt),KOKRAJHAR,101,Kokrajhar,Gossaigaon (Pt),,1068571780.0,1069,339253.125,0.9373932061905038,14868.1875,69937.1953125
Bhowraguri,KOKRAJHAR,102,Kokrajhar,Bhawraguri,,158892607.3,159,56939.73828125,0.9375083900474526,2491.60107421875,11791.3232421875
Dotoma,KOKRAJHAR,103,Kokrajhar,Dotoma,,303966231.6,304,200861.484375,0.9375307563065358,8789.822265625,41587.125
Kokrajhar (Pt),KOKRAJHAR,104,Kokrajhar,Kokrajhar (Pt),y,990246710.7,990,336982.59375,0.9374469233046622,14566.6962890625,72884.375
Bagribari (Pt),KOKRAJHAR,105,Kokrajhar,Bagribari (Pt),,281011470.5,281,110783.6875,0.9317455851800553,4605.2119140625,27722.861328125
Golokganj (Pt),KOKRAJHAR,106,Kokrajhar,Golokganj (Pt),,102804109.1,103,47987.94921875,0.931677037442331,1994.0357666015625,12024.330078125
Dhubri (Pt),KOKRAJHAR,107,Kokrajhar,Dhubri (Pt),,124091385.6,124,77570.6328125,0.9316642499504263,3223.00927734375,19442.193359375
Chapar (Pt),KOKRAJHAR,108,Kokrajhar,Chapar (Pt),,101233159.3,101,105940.15625,0.9317685718038703,4405.33544921875,26481.900390625
Bagribari (Pt),DHUBRI,109,Dhubri,Bagribari (Pt),,212860104.4,213,181100.796875,0.9318158133490265,7524.43896484375,45376.171875
Agamoni,DHUBRI,110,Dhubri,Agamoni,,220975059.2,221,168943.453125,0.9315928687622544,7039.63720703125,42186.7734375
Golokganj (Pt),DHUBRI,111,Dhubri,Golakganj (Pt),,199162500.1,199,158106.1875,0.9318061175400675,6572.49462890625,39562.76171875
Dhubri (Pt),DHUBRI,112,Dhubri,Dhubri (Pt),y,357274694.3,357,380978.59375,0.9316642817413494,15829.4130859375,95487.9453125
Bilasipara (Pt),DHUBRI,113,Dhubri,Bilasipara (Pt),,294886928.3,295,300497.84375,0.9319973174950674,12487.1796875,75127.2109375
Chapar (Pt),DHUBRI,114,Dhubri,Chapar (Pt),,195049812.7,195,65011.1484375,0.9325952903291145,2716.647216796875,16118.6201171875
Lakhipur,GOALPARA,115,Goalpara,Lakhipur,,486513089.8,487,211195.078125,0.942694740501046,8714.431640625,47757.36328125
Balijana,GOALPARA,116,Goalpara,Balijana,,541158544.1,541,298188.90625,0.9430898842009516,12370.328125,67023.9375
Matia,GOALPARA,117,Goalpara,Matia,,477602971.1,478,290885.90625,0.9426551829400069,11992.0546875,65744.390625
Dudhnai,GOALPARA,118,Goalpara,Dudhnoi,,196278296.1,196,76923.921875,0.9426717507221717,3165.661865234375,17392.318359375
Rangjuli,GOALPARA,119,Goalpara,Rangjuli,,277190398.1,277,134588.46875,0.9422299498324197,5593.0478515625,30173.126953125
Kalgachia,BARPETA,120,Barpeta,Kalgachia,,232225684.6,232,207373.4375,0.9335719636288121,9666.4228515625,47351.3046875
Baghbor,BARPETA,121,Barpeta,Baghbor,,512830660.7,513,306443.71875,0.9335686237516222,14280.80078125,69889.2890625
Barpeta,BARPETA,122,Barpeta,Barpeta,y,315725333.4,316,382629.5,0.9335487508816154,17836.98046875,87383.890625
Sarthebari,BARPETA,123,Barpeta,Sarthebari,,261719921.4,262,205526.265625,0.9335139772346837,9591.890625,46877.84765625
Bajali (Pt),BAJALI,124,Barpeta,Bajali (Pt),,167129509.3,167,116201.890625,0.9335831155984681,5423.759765625,26489.171875
Jalah (Pt),BAJALI,125,Barpeta,Jalah (Pt),,41272560.57,41,23212.623046875,0.9378708662584538,1090.449462890625,5061.23046875
Bhuragaon,MORIGAON,126,Morigaon,Bhuragaon,,218905955.5,219,118055.8125,0.9457497959657818,5361.3369140625,27219.666015625
Laharighat,MORIGAON,127,Morigaon,Laharighat,,232534594.4,233,255640.59375,0.945751480693079,11609.8212890625,58941.27734375
Marigaon,MORIGAON,128,Morigaon,Morigaon,y,389659479.6,390,231093.75,0.9443261244452353,10457.6416015625,53217.75
Mikirbheta,MORIGAON,129,Morigaon,Mikirbheta,,183812069.7,184,189598.625,0.9452870145827054,8637.21875,43574.5703125
Kaliabor,NAGAON,130,Nagaon,Kaliabor,,580444524.8,580,278773.5625,0.9396011738649334,13244.6318359375,60950.29296875
Samaguri,NAGAON,131,Nagaon,Samaguri,,342479635.6,342,363305.71875,0.9398484318464496,17298.546875,79483.40625
Rupahi,NAGAON,132,Nagaon,Rupahi,,305559066.5,306,275440.25,0.9400281276210946,13126.591796875,60260.94921875
Dhing,NAGAON,133,Nagaon,Dhing,,247888462.7,248,414967.78125,0.9406414081084824,19683.935546875,91274.9375
Nagaon,NAGAON,134,Nagaon,Nagaon,y,372041429.1,372,440921.9375,0.9400426985287993,21011.890625,96479.15625
Raha,NAGAON,135,Nagaon,Raha,,340889151.3,341,174669.203125,0.9395686790621266,8265.607421875,38369.48828125
Kampur,NAGAON,136,Nagaon,Kampur,,375122906.9,375,259582.375,0.9397668551815382,12338.7392578125,56782.45703125
Dhekiajuli (Pt),SONITPUR,137,Sonitpur,Dhekiajuli (Pt),,1231160620.0,1231,514720.9375,0.9323329625754608,23596.103515625,100265.78125
Chariduar,SONITPUR,138,Sonitpur,Chariduar,,999613694.8,1000,280297.0625,0.9322698630203669,12847.1064453125,54534.1875
Tezpur,SONITPUR,139,Sonitpur,Tezpur,y,546146490.7,546,372531.0625,0.9323721391616977,17083.166015625,72590.6796875
Na-Duar,SONITPUR,140,Sonitpur,Naduar,,668195595.7,668,230016.328125,0.9322833844612785,10543.8671875,44767.48828125
Narayanpur,LAKHIMPUR,141,Lakhimpur,Narayanpur,,380387815.9,380,141564.484375,0.9448268348683391,6458.0751953125,28562.6484375
Bihpuria,LAKHIMPUR,142,Lakhimpur,Bihpuria,,406987947.4,407,253793.5,0.9449858805282975,11567.7451171875,51229.99609375
Naobaicha,LAKHIMPUR,143,Lakhimpur,Nowboicha,,329777873.3,330,158151.296875,0.9450096977921372,7221.58056640625,31962.142578125
Kadam,LAKHIMPUR,144,Lakhimpur,Kadam,,523299066.2,523,100009.46875,0.9449516396514834,4566.5927734375,20214.259765625
North Lakhimpur,LAKHIMPUR,145,Lakhimpur,North Lakhimpur,y,615562945.6,616,239320.875,0.9449657856844332,10951.3486328125,48248.609375
Dhakuakhana (Pt-I),LAKHIMPUR,146,Lakhimpur,Dhakuakhana (Pt-I),,462433414.6,462,114897.6796875,0.9431202002060082,5192.919921875,23233.083984375
Subansiri (Pt-I),LAKHIMPUR,147,Lakhimpur,Subansiri (Pt-I),,279641275.4,280,98466.6328125,0.9447993867157948,4504.25341796875,19851.234375
Dhakuakhana (Pt-II),DHEMAJI,148,Dhemaji,Dhakuakhana (Pt-II),,8932180.563,9,2967.440185546875,0.9299945094554721,126.26492309570312,610.73388671875
Subansiri (Pt-II),DHEMAJI,149,Dhemaji,Subansiri (Pt-II),,155210841.0,155,7216.29541015625,0.930087306605177,306.8313903808594,1484.8758544921875
Dhemaji,DHEMAJI,150,Dhemaji,Dhemaji,y,396211702.6,396,135395.046875,0.930591096583863,5775.66162109375,27848.583984375
Sissibargaon,DHEMAJI,151,Dhemaji,Sissiborgaon,,745985547.0,746,257524.734375,0.930120225954809,10963.609375,52871.9296875
Jonai,DHEMAJI,152,Dhemaji,Jonai,,852661889.7,853,165100.359375,0.9302154404717204,7028.45751953125,33856.70703125
Gogamukh,DHEMAJI,153,Dhemaji,Gogamukh,,323763379.2,324,99923.5390625,0.9307190443543579,4266.75244140625,20547.6640625
Sadiya,TINSUKIA,154,Tinsukia,Sadiya,,851463185.0,851,101461.765625,0.9287629333248054,4250.51318359375,18843.51953125
Doom Dooma,TINSUKIA,155,Tinsukia,Doom Dooma,,936656924.2,937,456752.78125,0.9291488684052758,19145.693359375,84493.6171875
Tinsukia,TINSUKIA,156,Tinsukia,Tinsukia,y,890346165.2,890,431289.5625,0.9295813409778731,18118.322265625,79506.1484375
Margherita,TINSUKIA,157,Tinsukia,Margherita,,1132319376.0,1132,355398.1875,0.9281649078518539,14892.869140625,65908.515625
Dibrugarh West,DIBRUGARH,158,Dibrugarh,Dibrugarh West,,723055766.0,723,186763.046875,0.9388062921270891,8303.1953125,31006.70703125
Dibrugarh East,DIBRUGARH,159,Dibrugarh,Dibrugarh East,,392607310.5,393,239459.953125,0.9388873873810383,10638.390625,39737.1875
Chabua,DIBRUGARH,160,Dibrugarh,Chabua,,658137348.7,658,169880.765625,0.93876295218523,7541.27783203125,28244.392578125
Tengakhat,DIBRUGARH,161,Dibrugarh,Tengakhat,,355331353.1,355,252004.421875,0.9388562639442447,11194.486328125,41828.08984375
Moran,DIBRUGARH,162,Dibrugarh,Moran,,394752534.0,395,179360.25,0.9386894257805636,8006.8740234375,29747.03515625
Tingkhong,DIBRUGARH,163,Dibrugarh,Tingkhong,,391326093.4,391,192287.8125,0.9386162460159168,8582.2490234375,31891.8359375
Naharkatiya,DIBRUGARH,164,Dibrugarh,Naharkatia,,464307367.8,464,241665.0,0.9381787132181224,10760.44921875,40155.62890625
Dimow,SIVSAGAR,165,SIVSAGAR,Demow,,478427786.7,478,190778.546875,0.9321902225615862,9486.0166015625,31214.67578125
Sibsagar,SIVSAGAR,166,SIVSAGAR,Sivsagar,y,388026773.7,388,191158.4375,0.9324438652145159,9521.43359375,31240.48828125
