Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-/25-7363-69 dt 5-3-25,2025_HPIPH_101330_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest money as Per NIT,06-Mar-2025 05:00 PM,15-Mar-2025 11:30 AM,06-Mar-2025 05:00 PM,15-Mar-2025 11:00 AM,06-Mar-2025 05:00 PM,15-Mar-2025 11:00 AM,06-Mar-2025 05:00 PM,15-Mar-2025 11:00 AM,18-Mar-2025 01:20 PM,"20,658",No,fixed,,EE Suni,Suni,1.0,amendments,Other,,1.0,ICICI BANK,500.0,EE Suni,Suni,No,Executive Engineer,JSV Division Suni,Providing GWSS Ayog Sandoa in Tehsil Suni Distt. Shimla HP,C/O storage tank 10000 ltrs. Capacity and L/J 40  50 mm dia pipeline for distribution system under BASP,Please refer Tender documents.,,"10,32,877",Civil Works - Water Works,,Tender,120.0,60.0,Suni,171301.0,,,,Suni,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Cost of tender document,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of GST no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
