Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(Gen) Sundernagar||SE(Gen) Nahan,SEGN/SP-01/2025-26,2025_HPSEB_105642_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Not Applicable,No,No,No,1,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, other registration and document required as per Bid",20-May-2025 10:00 AM,10-Jun-2025 11:00 AM,20-May-2025 10:00 AM,09-Jun-2025 11:00 AM,,,20-May-2025 10:00 AM,09-Jun-2025 11:00 AM,10-Jun-2025 12:15 PM,0.0,No,fixed,,Nil,Nil,1.0,Time Extension,Date,,0.0,Nil,Nil,No,Supertending Engineer,Generation Circle HPSEBL Shaktinagar Nahan,Supply of Digital Photo Copier,Supply of Digital Photo Copier,Please refer Tender documents.,,,Electronics Equipment,,Tender,120.0,45.0,Girinagar,173032.0,,,,Shaktinagar,No,No,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
