Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(Gen) Sundernagar||SE(Gen) Nahan||RE Chirgaon,APHD/e-Tender/2025-26-02,2025_HPSEB_106200_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Not Applicable,No,No,No,1,Fee/PreQual/Technical,.pdf,NIQ,26-May-2025 11:40 AM,31-May-2025 03:00 PM,26-May-2025 11:45 AM,31-May-2025 12:30 PM,,,26-May-2025 12:00 PM,31-May-2025 12:30 PM,31-May-2025 03:25 PM,0.0,No,fixed,,Nil,Nil,0.0,Nil,Nil,No,RE Andhra,"RE Andhra,
HPSEBL, Chirgaon.","Supply of Turbine Oil Servo  Prime 46 and  Turbine Oil Servo  68 for Gumma Power House under Andhra Power House Division HPSEBL, Chirgaon","Supply of Turbine Oil Servo  Prime 46 and  Turbine Oil Servo  68 for Gumma Power House under Andhra Power House Division HPSEBL, Chirgaon",Please refer Tender documents.,,"2,12,730",Supply of Materials,,Tender,120.0,30.0,items supply work,171208.0,,,,chirgaon,No,No,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
