Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Mandi||Sr. Xen (E) S/Ghat,17/2025-26,2025_HPSEB_109451_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bidder License of A/B Class contractor from competent authority,05-Jul-2025 12:00 PM,15-Jul-2025 12:30 PM,05-Jul-2025 12:00 PM,15-Jul-2025 10:30 AM,,,05-Jul-2025 12:00 PM,15-Jul-2025 10:30 AM,650.0,No,fixed,,Nil,Nil,1.0,Extension of date opening,Date,,1.0,ICICI BANK,590.0,Nil,Nil,No,"Sr.Executive Engineer, HPSEBL, Sarkaghat","Sr.Executive Engineer, HPSEBL, Sarkaghat",17/2025-26,"Estimate for augmentation of 1 Ph. LT Line into 3 Ph. LT Line at Vill. Panjatru (Galehr) from existing S/Stns. 25KVA Bagra-Galu in (E) Sec. Rissa UESD, HPSEBL, Sarkaghat",Please refer Tender documents.,,,Electrical Works,,Tender,90.0,90.0,ESD Sarkaghat,175024.0,,,,"Sr.Executive Engineer, HPSEBL, Sarkaghat",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Declaration regarding non-blacklisted in non-judicial stamp paper with notary attested as per bid,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Certificate of GSTIN, PAN, AADHAR, ITR, EPF Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,ITR during last three previous years.(Last Three Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Similar work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Receipt of Earnest Money Deposit (EMD) and tender cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
