Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,ED.II.TA.TENDER.25-26-469-70 dt.06.05.25,2025_PWD_104937_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of cost of tender and earnest money paid,08-May-2025 05:00 PM,19-May-2025 11:30 AM,08-May-2025 05:30 PM,17-May-2025 05:00 PM,,,08-May-2025 05:30 PM,17-May-2025 05:00 PM,02-Jun-2025 04:00 PM,"18,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,EE,"Electrical Division No.II, HPPWD, US Club, Shimla-01.",RO of fire fighting and fire alarm system at Kamla Nehru State Hospital for Mother and child under electrial sub division IGMC Shimla. w.e.f. 21.03.2025 to 20.03.2026.,RO of fire fighting and fire alarm system at Kamla Nehru State Hospital for Mother and child under electrial sub division IGMC Shimla. w.e.f. 21.03.2025 to 20.03.2026.,Please refer to tender documents.  Documents mentioned in eligibility criteria at page No.24-25 of GCC to be uploaded to qualify the bid.,,"9,00,948",Electrical Works,,Tender,90.0,365.0,Shimla,171001.0,,,,Shimla,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of registration with GST Number PAN Number EPF Number,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Latest ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Duly signed undertaking as uploaded in additional tender documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Documents mentioned in eligibility criteria at pageNo.24-25 of GCC to be uploaded to qualify the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
