Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Mission Director,Internal,Refer notice,Vikash Jyoti Kalita,24-Jul-2023 11:27 AM,techsummary_46166.pdf (1486.72 KB),Skill Employment and Entrepreneurship Department||Assam Skill Development Mission,2023_SEED_28672_1,ASDM-3142/2022/367,Request for Proposal for Empanelment of Training Provider with Assam Skill Development Mission for providing Short Term Skill Training and Recruit Train Deploy under Placement Linked Skill Development Training Program,Finance,Summary attched,Vikash Jyoti Kalita,24-Jul-2023 11:22 AM,finance_46166.pdf,24-Jul-2023,INR 2.0E+8,180.0,Vikash Jyoti Kalita,24-Jul-2023 11:37 AM,List_of_Empanelled_Training_Providers_FY_2022_23.pdf (1487.00 KB),1.0,173856.0,ASCENSIVE EDUCARE PVT LTD,INR,0.0,Mission Director,Internal,ASDM,Vikash Jyoti Kalita,24-Jul-2023 11:34 AM,finsummary_46166.pdf (1486.72 KB),1,176483,AARADHANA ONLINE SOLUTIONS PRIVATE LIMITED,06-Feb-2023 10:45 AM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,24-Jul-2023 11:22 AM,AOC,Mission Director,Assam Skill Development Mission Garchuk Guwahati-781035,Skill Employment and Entrepreneurship Department||Assam Skill Development Mission,ASDM-3142/2022/367,2023_SEED_28672_1,Yes,Open Tender,Empanelment,Services,1.0,No,No,Online,No,No,No,"25,000",Yes,fixed,,Nil,Nil,"5,000",Nil,Nil,Yes,1.0,SBI Bank,1.0,Corrigendum_1,Date,,Request for Proposal for Empanelment of Training Provider with Assam Skill Development Mission for providing Short Term Skill Training and Recruit Train Deploy under Placement Linked Skill Development Training Program,Request for Proposal for Empanelment of Training Provider with Assam Skill Development Mission for providing Short Term Skill Training and Recruit Train Deploy under Placement Linked Skill Development Training Program,Refer RFP ,NA ,,Miscellaneous Services,NA ,Empanelment,180.0,180.0,Assam Skill Development Mission Garchuk Guwahati,781035.0,Assam Skill Development Mission Garchuk Guwahati ,Assam Skill Development Mission Garchuk Guwahati-781035 ,12-Jan-2023 02:00 PM ,Assam Skill Development Mission Garchuk Guwahati,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Biod,06-Jan-2023 06:00 PM,07-Feb-2023 11:00 AM,06-Jan-2023 06:00 PM,06-Feb-2023 04:00 PM,06-Jan-2023 06:00 PM ,12-Jan-2023 02:00 PM ,06-Jan-2023 06:00 PM,06-Feb-2023 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,173924.0,Valeur Fabtex Private Limited,INR,0.0,,,,,,,2,175541,AISECT,25-Jan-2023 03:10 PM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3.0,174931.0,VIVO SKILLS and TRAINING,INR,0.0,,,,,,,3,176513,Ajitaaksh Ventures Pvt Ltd,06-Feb-2023 01:36 PM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4.0,174958.0,Brainlite Education Solutions Private Limited,INR,0.0,,,,,,,4,175706,Andragogy Impact Methodology and Analysis Private Limited,06-Feb-2023 12:08 PM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5.0,175021.0,ASSAM PROFESSIONAL ACADEMY SOCIETY,INR,0.0,,,,,,,5,176491,Arthy Learning And Implementation Private Limited,06-Feb-2023 11:32 AM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,24-Jul-2023 11:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6.0,175139.0,UDAAN SKILLS,INR,0.0,,,,,,,6,173856,ASCENSIVE EDUCARE PVT LTD,31-Jan-2023 12:41 PM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7.0,175199.0,KALPANA EDUCATIONAL TRUST,INR,0.0,,,,,,,7,175826,ASHA SOCIETY FOR EDUCATION & TRAINING,06-Feb-2023 09:21 AM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8.0,175508.0,NER EMPOWERMENT FOUNDATION,INR,0.0,,,,,,,8,175021,ASSAM PROFESSIONAL ACADEMY SOCIETY,05-Feb-2023 02:45 PM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9.0,175531.0,Security Skills Council India Limited,INR,0.0,,,,,,,9,176479,Assam Skill Training Provider (ASTP),06-Feb-2023 05:01 AM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10.0,175541.0,AISECT,INR,0.0,,,,,,,10,174958,Brainlite Education Solutions Private Limited,24-Jan-2023 09:10 AM,Accepted-AOC,Qualified,24-Jul-2023 11:42 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
