class,age,male,female
0,0 to 1,312.97,274.68
1,1 to 5,1249.7,1094.91
10,10 to 15,1674.84,1484.67
15,15 to 20,1741.05,1618.62
20,20 to 25,1717.51,1691.17
25,25 to 30,1668.17,1670.61
30,30 to 35,1757.88,1722.85
35,35 to 40,1528.53,1508.81
40,40 to 45,1265.74,1389
45,45 to 50,1166.22,1259.34
5,5 to 10,1568.75,1394.51
50,50 to 55,1074.98,1228.1
55,55 to 60,988.57,994.81
60,60 to 65,728.42,749.83
65,65 to 70,487.74,513.52
70,70 to 75,334.28,423.63
75,75 to 80,288.64,353.82
80,80 and over,272.73,411.31
