class,age,male,female
0,0 to 1,399.99,338.84
1,1 to 5,1597.16,1350.62
10,10 to 15,2137.3,1727.82
15,15 to 20,2245.48,1995.27
20,20 to 25,2094.64,2176.88
25,25 to 30,1991.66,2203.54
30,30 to 35,2089.65,2221.53
35,35 to 40,1861.35,1968.65
40,40 to 45,1601.27,1821.53
45,45 to 50,1568.2,1713.72
5,5 to 10,2007.8,1657.99
50,50 to 55,1428.08,1647.32
55,55 to 60,1397.31,1387.38
60,60 to 65,1052.24,1043.39
65,65 to 70,752.85,756.33
70,70 to 75,500.69,613.22
75,75 to 80,398.44,491.94
80,80 and over,364.07,535.78
