class,age,male,female
0,0 to 1,2037.48,1809.7
1,1 to 5,8135.64,7213.59
10,10 to 15,10622.78,9287.24
15,15 to 20,11364.87,10075.25
20,20 to 25,11681.81,10226.16
25,25 to 30,10687.21,9345.15
30,30 to 35,9938.13,8599.18
35,35 to 40,8599.32,7552.21
40,40 to 45,7336.93,6934.6
45,45 to 50,6357.37,6053.95
5,5 to 10,10291.56,8887.88
50,50 to 55,5853.82,5659.96
55,55 to 60,4978.03,4419.58
60,60 to 65,3769.65,3464.99
65,65 to 70,2467.81,2269.56
70,70 to 75,1666.02,1691.18
75,75 to 80,1148.87,1163.12
80,80 and over,1026.03,1118.85
