class,age,male,female
0,0 to 1,456.02,386.29
1,1 to 5,1820.9,1539.78
10,10 to 15,2436.73,1969.8
15,15 to 20,2560.1,2274.78
20,20 to 25,2388.08,2481.88
25,25 to 30,2270.69,2512.36
30,30 to 35,2382.47,2532.92
35,35 to 40,2122.23,2244.62
40,40 to 45,1825.68,2076.84
45,45 to 50,1788.01,1953.96
5,5 to 10,2289.06,1890.19
50,50 to 55,1628.26,1878.25
55,55 to 60,1593.2,1581.9
60,60 to 65,1199.77,1189.68
65,65 to 70,858.42,862.37
70,70 to 75,570.9,699.21
75,75 to 80,454.32,560.94
80,80 and over,415.13,610.93
