,population and crop area affected,District,Male,Female,Children,Total Population,,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Tamulpur,204,160,61,425,,( Goreswar | 425 ),0.00,( Goreswar | 0.00 ),08-08-2022
1,,Udalguri,0,0,0,0,,"( Harisinga | 0 ), ( Khairabari | 0 ), ( Kalaigaon | 0 )",75.00,"( Harisinga | 0.00 ), ( Khairabari | 0.00 ), ( Kalaigaon | 75.00 )",08-08-2022
2,,Total,204,160,61,425,,,75.00,,08-08-2022
