,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,251,219,346,,816,"( Dhemaji | 0 ), ( Jonai | 816 )",132.00,"( Dhemaji | 5.00 ), ( Jonai | 127.00 )",08-09-2022
1,,Morigaon,0,0,0,,0,( Mayong | 0 ),17.50,( Mayong | 17.50 ),08-09-2022
2,,Nagaon,0,0,0,,0,( Samaguri | 0 ),4.00,( Samaguri | 4.00 ),08-09-2022
3,,Total,251,219,346,,816,,153.50,,08-09-2022
