,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Golaghat,0,0,0,0,( Bokakhat | 0 ),50.00,( Bokakhat | 50.00 ),20-10-2022
1,,Total,0,0,0,0,,50.00,,20-10-2022
