,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Dhemaji,1019,1149,762,2930,"( Gogamukh | 1834 ), ( Sissiborgaon | 1096 )",,95.90,"( Gogamukh | 35.00 ), ( Sissiborgaon | 60.90 )",,09-06-2022
1,,Morigaon,0,0,0,0,( Morigaon | 0 ),,1000.00,( Morigaon | 1000.00 ),,09-06-2022
2,,Total,1019,1149,762,2930,,,1095.90,,,09-06-2022
