,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,180000,140000,35000,355000,"( Sarupeta | 195000 ), ( Bajali | 160000 )",20.00,"( Sarupeta | 20.00 ), ( Bajali | 0.00 )",,,16-06-2022
1,,Baksa,4987,4168,781,9936,"( Barnagar RC part | 0 ), ( Baganpara | 1284 ), ( Barama | 1231 ), ( Baska | 1356 ), ( Jalah | 6065 )",764.50,"( Barnagar RC part | 387.00 ), ( Baganpara | 219.50 ), ( Barama | 68.00 ), ( Baska | 0.00 ), ( Jalah | 90.00 )",,,16-06-2022
2,,Barpeta,33054,27501,14445,75000,"( Barpeta | 9168 ), ( Barnagar | 0 ), ( Kalgachia | 0 ), ( Sarthebari | 64530 ), ( Chenga | 1302 )",2116.00,"( Barpeta | 646.00 ), ( Barnagar | 829.00 ), ( Kalgachia | 604.00 ), ( Sarthebari | 37.00 ), ( Chenga | 0.00 )",,,16-06-2022
3,,Biswanath,83,59,38,180,( Halem | 180 ),18.00,( Halem | 18.00 ),,,16-06-2022
4,,Bongaigaon,31779,26666,19325,77770,"( Manikpur | 75850 ), ( Dangtol | 995 ), ( Bongaigaon | 925 )",1201.00,"( Manikpur | 1201.00 ), ( Dangtol | 0.00 ), ( Bongaigaon | 0.00 )",,,16-06-2022
5,,Chirang,6915,5129,3966,16010,"( Bengtal | 1632 ), ( Sidli | 1805 ), ( Bijni | 12573 )",688.32,"( Bengtal | 253.00 ), ( Sidli | 321.00 ), ( Bijni | 114.32 )",,,16-06-2022
6,,Darrang,40211,35810,24215,100236,"( Mangaldoi | 15268 ), ( Dalgaon | 52395 ), ( Patharighat | 31972 ), ( Sipajhar | 601 )",4149.51,"( Mangaldoi | 1104.00 ), ( Dalgaon | 2435.50 ), ( Patharighat | 580.35 ), ( Sipajhar | 29.66 )",,,16-06-2022
7,,Dhemaji,2303,2147,1503,5953,"( Jonai | 4462 ), ( Dhemaji | 395 ), ( Sissiborgaon | 1096 )",1098.00,"( Jonai | 819.00 ), ( Dhemaji | 3.00 ), ( Sissiborgaon | 276.00 )",,,16-06-2022
8,,Dhubri,1726,1459,586,3771,"( Chapar | 900 ), ( Bilasipara | 2687 ), ( Athani | 184 )",185.52,"( Chapar | 179.00 ), ( Bilasipara | 6.52 ), ( Athani | 0.00 )",,,16-06-2022
9,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),2.50,( Chabua | 2.50 ),,,16-06-2022
