,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,1109,650,408,,2167,( Katigorah | 2167 ),,0.00,( Katigorah | 0.00 ),,25-07-2022
1,,Morigaon,877,720,198,,1795,( Morigaon | 1795 ),,186.00,( Morigaon | 186.00 ),,25-07-2022
2,,Tamulpur,457,345,90,,892,( Goreswar | 892 ),,0.00,( Goreswar | 0.00 ),,25-07-2022
3,,Total,2443,1715,696,,4854,,,186.00,,,25-07-2022
