,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,4921,3581,1823,10325,"( Silchar | 6324 ), ( Katigorah | 4001 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,05-06-2022
1,,Kamrup (M),0,0,0,0,( Sonapur | 0 ),,161.00,( Sonapur | 161.00 ),,05-06-2022
2,,Morigaon,11956,11123,7369,30448,( Morigaon | 30448 ),,3200.00,( Morigaon | 3200.00 ),,05-06-2022
3,,Total,16877,14704,9192,40773,,,3361.00,,,05-06-2022
