,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Dhemaji,715,687,686,2088,( Dhemaji | 2088 ),,141.00,( Dhemaji | 141.00 ),,30-07-2022
1,,Morigaon,27,28,21,76,( Morigaon | 76 ),,60.00,( Morigaon | 60.00 ),,30-07-2022
2,,Tamulpur,195,153,57,405,( Goreswar | 405 ),,0.00,( Goreswar | 0.00 ),,30-07-2022
3,,Total,937,868,764,2569,,,201.00,,,30-07-2022
